Designator,Mid X,Mid Y,Rotation,Layer
_13,193.22,-102.7,0.0,top
_12,145.51,-117.42,0.0,top
_11,143.01,-117.39,0.0,top
_10,195.72,-102.69,0.0,top
_9,198.21,-102.75,0.0,top
_8,187.01,-121.29,90.0,top
_7,190.72,-102.7,0.0,top
_6,139.742,-117.788,90.0,top
_5,187.075,-123.825,90.0,top
_4,200.97,-102.74,0.0,top
_3,187.02,-118.79,90.0,top
_2,148.408,-117.788,90.0,bottom
,188.083,-116.188,90.0,bottom
BT1_2,200.9,-109.18,90.0,top
BT1,199.4,-109.2,90.0,bottom
D1,100.4,-89.7,180.0,top
D10,172.2,-96.4,180.0,top
D11,100.2,-123.6,180.0,top
D12,118.3,-111.7,180.0,top
D13,136.2,-104.7,180.0,top
D14,154.2,-110.3,180.0,top
D15,171.1,-113.5,0.0,top
D16,82.5,-89.7,180.0,top
D17,82.3,-106.7,180.0,top
D18,82.1,-123.5,180.0,top
D2,118.3,-77.7,180.0,top
D3,136.4,-70.9,180.0,top
D4,154.3,-76.4,180.0,top
D5,172.3,-79.6,180.0,top
D6,100.4,-106.8,180.0,top
D7,118.2,-94.6,180.0,top
D8,136.3,-87.7,180.0,top
D9,154.2,-93.5,180.0,top
DT-1,195.636027,-142.0394,320.0,top
DT1,166.6,-131.3,165.0,top
DT2,180.0,-132.0,150.0,top
DT3,165.85,-133.55,165.0,top
DT4,180.75,-116.8,180.0,top
DT5way1,174.25,-116.55,180.0,top
OLED+!,194.24,-105.28,90.0,top
ON/OFF1,195.01,-68.77,270.0,top
Reset1,168.85,-66.93,0.0,top
SW1,103.6,-87.18,0.0,top
SW10,175.6,-93.98,0.0,top
SW11,103.6,-121.18,0.0,top
SW12,121.6,-109.18,0.0,top
SW13,139.6,-102.18,0.0,top
SW14,157.6,-107.98,0.0,top
SW15,175.6,-110.98,0.0,top
SW16,85.6,-87.18,0.0,top
SW17,85.6,-104.18,0.0,top
SW18,85.6,-121.18,0.0,top
SW2,121.6,-75.18,0.0,top
SW3,139.6,-68.18,0.0,top
SW4,157.6,-73.98,0.0,top
SW5,175.6,-76.98,0.0,top
SW6,103.6,-104.18,0.0,top
SW7,121.6,-92.18,0.0,top
SW8,139.6,-85.18,0.0,top
SW9,157.6,-90.98,0.0,top
Thumb-1,197.8,-146.88,140.0,top
Thumb1,163.0,-127.72,345.0,top
Thumb2,181.861216,-135.639103,150.0,top
Thumb3,144.1,-125.4125,270.0,top
Thumb4,195.0,-120.2,0.0,top
U1,195.07,-86.25,0.0,top
